#simptom;ime;godina;pol;rasa;ver
optic_neuritis;blidness;45-59;zensko;white;0.058
optic_neuritis;blidness;45-59;musko;other;0.042
optic_neuritis;blidness;45-59;zensko;other;0.063
optic_neuritis;blidness;60-74;musko;black;0.026
optic_neuritis;blidness;60-74;zensko;black;0.038
optic_neuritis;blidness;60-74;musko;hispanic;0.038
optic_neuritis;blidness;60-74;zensko;hispanic;0.058
optic_neuritis;blidness;60-74;musko;white;0.032
optic_neuritis;blidness;60-74;zensko;white;0.048
optic_neuritis;blidness;60-74;musko;other;0.035
optic_neuritis;blidness;60-74;zensko;other;0.053
optic_neuritis;blidness;75;musko;black;0
optic_neuritis;blidness;75;zensko;black;0
optic_neuritis;blidness;75;musko;hispanic;0
optic_neuritis;blidness;75;zensko;hispanic;0
optic_neuritis;blidness;75;musko;white;0
optic_neuritis;blidness;75;zensko;white;0
optic_neuritis;blidness;75;musko;other;0
optic_neuritis;blidness;75;zensko;other;0
macular_degeneration;blidness;0;musko;black;0
macular_degeneration;blidness;0;zensko;black;0
macular_degeneration;blidness;0;musko;hispanic;0
macular_degeneration;blidness;0;zensko;hispanic;0
macular_degeneration;blidness;0;musko;white;0
macular_degeneration;blidness;0;zensko;white;0
macular_degeneration;blidness;0;musko;other;0
macular_degeneration;blidness;0;zensko;other;0
macular_degeneration;blidness;1-4;musko;black;0.003
macular_degeneration;blidness;1-4;zensko;black;0.003
macular_degeneration;blidness;1-4;musko;hispanic;0.004
macular_degeneration;blidness;1-4;zensko;hispanic;0.005
macular_degeneration;blidness;1-4;musko;white;0.006
macular_degeneration;blidness;1-4;zensko;white;0.008
macular_degeneration;blidness;1-4;musko;other;0.004
macular_degeneration;blidness;1-4;zensko;other;0.005
macular_degeneration;blidness;5-14;musko;black;0
macular_degeneration;blidness;5-14;zensko;black;0
macular_degeneration;blidness;5-14;musko;hispanic;0
macular_degeneration;blidness;5-14;zensko;hispanic;0
macular_degeneration;blidness;5-14;musko;white;0
macular_degeneration;blidness;5-14;zensko;white;0
macular_degeneration;blidness;5-14;musko;other;0
macular_degeneration;blidness;5-14;zensko;other;0
macular_degeneration;blidness;15-29;musko;black;0.003
macular_degeneration;blidness;15-29;zensko;black;0.003
macular_degeneration;blidness;15-29;musko;hispanic;0.004
macular_degeneration;blidness;15-29;zensko;hispanic;0.005
macular_degeneration;blidness;15-29;musko;white;0.006
macular_degeneration;blidness;15-29;zensko;white;0.008
macular_degeneration;blidness;15-29;musko;other;0.004
macular_degeneration;blidness;15-29;zensko;other;0.005
macular_degeneration;blidness;30-44;musko;black;0.005
macular_degeneration;blidness;30-44;zensko;black;0.007
macular_degeneration;blidness;30-44;musko;hispanic;0.009
macular_degeneration;blidness;30-44;zensko;hispanic;0.01
macular_degeneration;blidness;30-44;musko;white;0.013
macular_degeneration;blidness;30-44;zensko;white;0.016
